"Link","Name","Pos","Height RAS","Weight RAS","Arm RAS","Hand RAS","Forty RAS","Twenty RAS","Ten RAS","Bench RAS","Vertical RAS","Broad RAS","Shuttle RAS","Cone RAS","RAS"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=21720&ovl=Iowa"">Link</a>","Logan Lee","DT","9.71","1.78",,,"7.28","7.15","6.62","5.70","8.48","9.33","9.64","9.85","9.2"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=22044&ovl=Auburn"">Link</a>","Justin Rogers","DT","5.01","9.49",,,"0.60","2.17","1.64","2.92","1.30","2.42","2.44","1.31","1.18"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=22349&ovl=Arkansas"">Link</a>","Trajan Jeffcoat","DE","6.59","6.66",,,"8.79","7.37","7.71","5.01","4.89","8.42","4.73","5.26","7.62"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=23636&ovl=Washington"">Link</a>","Zion Tupuola-Fetui","DE","3.55","1.56",,,,,,,,,,,
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=24953&ovl=Louisiana"">Link</a>","Nathan Thomas","OT","3.95","9.15",,,"7.17","7.46","8.66","6.66","2.43","7.33","7.79","3.57","7.5"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=24954&ovl=North+Dakota+State"">Link</a>","Jalen Sundell","OC","9.45","5.57",,,"7.31","9.16","8.20","6.57","8.74","7.34","7.96","7.33","9.35"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=24955&ovl=Illinois"">Link</a>","Julian Pearl","OT","6.98","5.99",,,,,,,,,,,
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=24956&ovl=Maryland"">Link</a>","Gottlieb Ayedze","OT","1.49","4.85",,,"9.33","9.45","9.59","4.25","3.99","9.27",,"7.09","7.81"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=24957&ovl=Penn+State"">Link</a>","Caedan Wallace","OT","3.18","6.55",,,"7.80","7.46","9.25",,"8.74","9.82","2.09","6.85","8.23"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=24958&ovl=Kansas+State"">Link</a>","KT Leveston","OG","5.73","8.72",,,"4.54","4.44","5.10","6.41","6.21","8.73","3.96","5.84","6.59"
