,year,name,college,pos,height,weight,forty,bench,vertical,broad jump,shuttle,3-cone
24,2021,Cade Johnson,South Dakota State,WR,70.63,184,4.51,11,35.0,114,,
25,2021,Tim Jones,Southern Mississippi,WR,72.75,203,4.47,17,40.0,124,4.14,7.02
26,2021,Branden Mack,Temple,WR,77.00,217,4.66,11,31.0,115,4.37,7.13
27,2021,Terrace Marshall Jr.,Louisiana State,WR,74.50,205,4.40,19,39.0,125,,
28,2021,Khalil McClain,Troy (AL),WR,74.88,214,4.70,15,32.0,114,4.50,7.72
29,2021,Racey McMath,Louisiana State,WR,74.50,211,4.39,,34.0,125,4.40,7.37
30,2021,Osirus Mitchell,Mississippi State,WR,77.00,206,4.61,12,35.5,128,4.34,7.12
31,2021,Elijah Moore,Mississippi,WR,69.50,178,4.35,17,36.0,121,4.00,6.67
32,2021,Rondale Moore,Purdue,WR,67.00,181,4.32,,42.5,126,4.10,6.68
33,2021,Dazz Newsome,North Carolina,WR,70.13,190,4.59,12,34.0,121,4.39,7.39
34,2021,Tre Nixon,Central Florida,WR,72.13,187,4.44,18,35.5,125,4.25,6.81
35,2021,Antonio Nunn,Buffalo,WR,71.00,204,4.50,15,33.5,120,4.32,7.12
36,2021,Josh Palmer,Tennessee,WR,73.25,210,4.52,,34.0,124,4.24,6.98
37,2021,Whop Philyor,Indiana,WR,69.63,184,4.58,14,31.0,120,4.38,7.20
38,2021,Cornell Powell,Clemson,WR,72.25,204,4.53,16,36.5,128,4.21,7.03
39,2021,Blake Proehl,East Carolina (NC),WR,73.88,186,4.47,12,36.0,126,4.20,7.00
40,2021,Amari Rodgers,Clemson,WR,69.50,212,4.52,19,33.0,121,4.31,7.07
41,2021,T.J. Simmons,West Virginia,WR,73.38,208,4.59,13,32.0,120,4.55,7.22
42,2021,Bennett Skowronek,Notre Dame,WR,74.88,220,,13,,118,,
43,2021,Brandon Smith,Iowa,WR,73.38,218,4.64,21,39.0,130,,
44,2021,DeVonta Smith,Alabama,WR,72.25,170,,,,131,,
45,2021,Shi Smith,South Carolina,WR,69.50,186,4.46,,36.0,123,4.22,6.79
